iteration,fidelity,n_samples,radius,thickness,npanels,theta,length,y_raw,y_cnp,y_cnp_err,y_rGe77[nuc/(kg*yr)]
0,0,50000,250.2,5.1,66.0,26.5,27.4,62.0,0.2136,0.0218,0.1864
0,0,50000,217.0,16.1,34.0,18.0,7.8,56.0,0.1618,0.0181,0.1678
0,0,50000,231.0,7.1,318.0,61.5,4.1,30.0,0.5593,0.0283,0.0914
0,0,50000,158.0,5.4,262.0,29.8,3.6,72.0,0.2762,0.0221,0.2126
0,0,50000,185.3,13.3,237.0,36.5,3.9,60.0,0.2907,0.0235,0.1895
0,0,50000,214.0,10.9,69.0,53.0,5.7,72.0,0.2026,0.0204,0.2211
0,0,50000,212.6,9.9,165.0,61.3,7.7,60.0,0.2856,0.0239,0.1811
0,0,50000,205.7,8.7,203.0,79.8,3.4,48.0,0.3537,0.0252,0.1441
0,0,50000,258.4,11.8,250.0,37.0,2.4,54.0,0.3962,0.0284,0.1665
0,0,50000,207.3,11.5,276.0,67.5,5.2,52.0,0.4632,0.0273,0.1592
0,0,50000,128.0,5.4,54.0,51.6,4.9,84.0,0.1914,0.0186,0.2444
0,0,50000,167.6,12.9,60.0,32.4,6.2,48.0,0.1742,0.0181,0.141
0,0,50000,184.8,6.4,138.0,44.1,15.7,44.0,0.2155,0.0204,0.131
0,0,50000,174.4,14.8,338.0,74.2,3.6,54.0,0.5787,0.027,0.1598
0,0,50000,224.5,12.8,67.0,10.9,6.3,50.0,0.1755,0.0189,0.1491
0,0,50000,227.9,17.4,47.0,4.2,27.4,48.0,0.1695,0.0189,0.1453
0,0,50000,207.4,17.1,185.0,34.9,2.8,58.0,0.2488,0.0223,0.1763
0,0,50000,242.8,8.6,43.0,9.5,39.0,60.0,0.1808,0.0199,0.1827
0,0,50000,149.2,10.3,12.0,47.7,4.1,58.0,0.1621,0.0175,0.1768
0,0,50000,220.6,10.4,101.0,27.8,11.1,48.0,0.1976,0.0202,0.147
0,0,50000,227.8,10.9,141.0,33.8,13.6,64.0,0.2279,0.0219,0.1962
0,0,50000,241.6,5.6,14.0,4.0,66.6,76.0,0.1779,0.0198,0.235
0,0,50000,102.3,5.9,86.0,31.8,20.8,62.0,0.2306,0.0201,0.1837
0,0,50000,228.1,7.6,256.0,16.3,2.3,58.0,0.3005,0.0245,0.1751
0,0,50000,254.8,6.9,324.0,21.8,5.6,70.0,0.5138,0.0296,0.2118
0,0,50000,136.1,7.0,48.0,14.6,6.0,80.0,0.196,0.0189,0.2366
0,0,50000,145.4,17.7,260.0,15.9,3.3,34.0,0.2806,0.0223,0.1019
0,0,50000,149.4,6.1,9.0,30.3,21.9,78.0,0.1681,0.0176,0.2292
0,0,50000,127.2,12.3,117.0,31.4,4.7,32.0,0.2097,0.0195,0.1013
0,0,50000,254.8,6.1,19.0,65.4,5.0,68.0,0.2658,0.0258,0.2022
0,0,50000,163.6,7.8,203.0,1.3,2.9,70.0,0.2005,0.0192,0.2101
0,0,50000,254.6,11.4,170.0,4.7,6.2,62.0,0.26,0.0238,0.1962
0,0,50000,226.1,14.4,116.0,51.5,4.1,64.0,0.2375,0.0223,0.1931
0,0,50000,189.9,5.2,257.0,72.3,3.6,64.0,0.3812,0.0259,0.1918
0,0,50000,257.9,6.1,153.0,62.6,8.4,46.0,0.3362,0.0267,0.1383
0,0,50000,107.4,7.1,6.0,15.3,4.4,68.0,0.2033,0.0193,0.1998
0,0,50000,208.4,6.6,69.0,28.8,16.3,72.0,0.1797,0.0189,0.2159
0,0,50000,241.0,10.4,158.0,83.9,6.4,50.0,0.3885,0.0277,0.1525
