evtid,nC_x,nC_y,nC_z,nC_material,nC_global_time,nC_gamma_amount,nC_gamma_total_energy,nC_detected
173,1406.2983924759458,-3774.418836214989,-24.79957700565457,1,6.819999999999999e-05,4,5.506633888794978,1
176,-1924.8767753390546,-3520.949485298548,-380.16834649118215,1,0.000185,4,6.472258816209276,1
177,-166.00511246895368,-3990.541135880084,-1110.1332886416799,4,4.28e-05,3,9.225290116834884,0
178,2772.1453497313823,-2893.1607656904043,-97.251970725552,1,1.66e-05,4,7.633616220758864,1
179,1421.794603146024,-3788.5601455007777,-808.3358501951212,1,1.62e-05,4,7.803006581310945,1
180,1015.0196870797492,-3920.5827570346864,-1275.9033678596668,1,1.42e-05,4,13.434785816092457,0
181,1572.4534959530067,-3707.937597236805,8.682496389464955,1,6.599999999999999e-05,4,5.132325481701267,0
182,1419.9402530174837,-4096.182559659303,-340.90981285523696,3,2.1799999999999998e-05,1,2.2230581990910903,1
183,-1719.5446288041794,3631.8206159724714,2353.6137927608197,1,2.4599999999999998e-05,4,4.333250764684239,1
185,-2806.3411866771044,-2998.303025321956,-2670.9204103286465,3,0.000167,1,2.2230451629040915,1
186,1261.7255326854108,-4210.097108623648,-245.18375254247795,3,0.0006916,1,2.223053472310135,1
188,1792.8346124250666,-3627.984379378906,117.73010395361514,1,3.64e-05,4,9.457830008363608,1
189,1975.192253337655,-3846.8571912740094,-1704.7626219115311,3,0.0001604,1,2.223062423260694,1
190,823.0122660836581,-3915.754340137411,116.78883269498857,1,1.2e-05,4,5.356364276983827,1
191,567.1482827015254,-4582.791181893252,-799.2782370187643,3,0.00019119999999999999,1,2.223064162966493,1
193,1205.4458848694492,-4543.2659425145885,-589.953490070905,3,0.00011939999999999999,1,2.2230469654371445,1
195,2129.574434659522,-3405.2933373239216,557.6340660578164,1,0.0001058,4,14.218865213783129,0
196,3764.5144740204055,1379.6316708504837,-4298.869690424987,1,7.8e-06,4,3.1748571594451347,0
198,2260.7803407434644,-3357.4283378895716,-737.9126126161353,1,8.74e-05,4,4.559944145829867,1
199,2197.32142728157,-3409.646464919571,-4325.937474293596,3,2.26e-05,1,2.223052831778893,1
200,2467.5912587739476,-3746.8993117020705,-173.37284469622907,3,0.0001992,1,2.2230482185871243,1
202,2523.08984414763,-3195.3066063217225,1090.6584043420369,3,2.6e-05,1,2.2230563127695375,1
203,2943.920732719712,-2863.2211801492745,382.4795167063717,3,6.08e-05,1,2.2230551674212244,1
204,2617.760774307885,-3063.012670203681,834.0663794066978,1,4.2e-06,4,6.517283913221368,0
205,1586.686497404816,-3712.432871619771,668.8843649486503,1,2.84e-05,4,7.755120609813002,1
206,-1325.8091167491543,-3765.97515188361,2618.814305760811,3,0.00037079999999999996,1,2.223048738538695,1
207,2397.2478854393225,-3523.0666657322136,1118.4450303058118,3,0.0002488,1,2.223056084462015,1
208,2282.9881029948565,-3662.5044932422743,878.2276935204577,3,0.00024599999999999996,1,2.2230719159965138,1
209,1137.7192483485583,-3882.698038770157,515.5908685876828,1,2.7e-05,4,11.957130049785825,1
213,2283.6089788116738,-2810.5611519506774,2504.697956228282,4,0.000143,2,7.631179895974153,1
214,3388.3214994002265,-2215.6206093033534,1845.4763649569763,1,1.5399999999999998e-05,4,5.712054376312199,1
215,3058.8823769522824,-2827.1105106433233,1260.2308995211267,3,6.1e-05,1,2.223054228225528,1
217,2068.4166100223465,-3692.8084937123986,2335.646257148412,3,3.2e-05,1,2.2230618468724876,1
219,1652.2343170704585,-3689.2002922014794,831.6222492710158,1,8.12e-05,4,7.846629877592086,0
396,1686.7957122262396,3665.685303337231,-3590.748991071953,1,2.8e-05,4,5.931632623039777,1
399,-920.2144234526058,4007.7138807538945,-3655.8908302087,3,0.0007061999999999999,1,2.223054817121068,1
400,1274.0887033432982,3803.4235029706842,-4176.102938563966,1,7.8e-06,4,4.393649894137133,1
403,2010.4831712382877,3466.324284575379,-4215.467304211055,1,5.7999999999999995e-06,4,7.674930714245802,1
404,860.827243025523,2398.597452843028,-4632.614164454644,3,0.0003918,1,2.22305291092685,1
406,2492.0808833361584,3186.8059199652057,-1932.7427985748861,1,4.24e-05,4,7.803904378476338,0
407,1238.6768017542856,3085.384876987251,-4726.087522727411,3,0.0002994,1,2.2230573080455307,1
408,1416.6847495247553,3343.222215232962,-4595.371123881637,3,0.00010659999999999999,1,2.2230650535401657,1
410,-55.619951882747436,2130.4797992586714,-4574.115456353429,3,4.4399999999999995e-05,1,2.223065554018305,0
411,-901.2331338387979,-727.552774482542,2556.768787289611,3,2.02e-05,1,2.2230546558828586,0
413,2712.734606047092,2440.052110832525,-4594.415731022067,3,0.0001848,1,2.2230544350029455,1
416,-3712.955096755778,2408.2042445432844,956.0752554440029,3,0.00035339999999999997,1,2.223055609097471,1
424,-4331.760221665171,2527.3872433900374,87.61472562234631,2,0.00085,1,2.223064896877718,1
425,-4240.47807515503,1063.1091040917083,-1242.59883228876,3,8e-07,1,2.223013690209035,1
426,-4056.9173765662113,1500.0365963109323,-1117.0245823827825,3,3.4e-05,1,2.223058023053425,1
431,-4694.0327367239515,1042.5698104875282,-660.9552089798865,2,0.00018899999999999999,1,2.223040408668304,1
438,-3951.376241083236,2556.6575359130115,184.1231266317216,3,0.0002526,1,2.2230595887824,1
445,-26.058000495085302,4037.511631785531,-3795.6601078600124,1,3.6e-06,4,7.771840937034431,0
446,2023.3110495539988,3486.0186939295145,-4050.686978711469,1,1.78e-05,4,7.28350289338416,1
447,-633.5252557007902,-2897.297380910627,2585.3434429428735,3,0.00036879999999999997,1,2.2230581604766466,0
449,-3144.201352628739,1711.9445201225885,2796.894392430676,3,0.0003672,1,2.223058409095107,1
453,-2438.0495484652433,121.42732566979858,-4623.459500020161,3,0.0006169999999999999,1,2.2230551241858585,1
454,3986.5561921243834,-271.52642005494664,1463.5823370691085,4,1.82e-05,3,7.9238822216808,1
455,1083.539232099502,1207.9253761309944,-4522.697797412494,4,0.0005968,2,5.907061610905039,1
458,-3340.2118705592975,1650.7731912609033,-4592.166212313199,3,0.000202,1,2.223052969862428,1
460,354.8667839805521,4029.293002479468,173.06490336319996,1,6.2e-06,4,13.581630398510773,1
463,-2808.175675136624,2893.7076507724723,-1958.4019194321854,1,2.24e-05,4,6.481646676968571,1
472,99.88836101314669,-4046.020660033225,-315.86366738268373,1,0.0002428,4,5.701780340639688,1
473,-3583.3539979274424,2008.7710970775431,1223.9634363422024,3,0.0002392,1,2.2230477518780742,1
474,-279.1836407135122,-4395.1259077125915,-214.01633835167237,3,0.0003194,1,2.2230536598522868,1
480,-1088.584349955899,-3985.422477346302,1360.5311302228313,3,1.94e-05,1,2.2230639456307135,1
481,-1603.7920698360679,-4311.752558822577,617.3748479043657,3,0.000397,1,2.2230613228123075,1
617,-1850.1196188423985,-2155.2965190336963,-4642.760109217208,3,4.98e-05,1,2.223060791033317,1
619,-2140.9371044781406,-2229.763240450952,-4624.425450589741,3,0.0002404,1,2.223057868202641,0
621,963.4808569910574,-3883.881662543919,-1380.827680502199,1,8.599999999999999e-06,4,7.500552628009915,0
622,1308.0773766214254,-2184.7024829705138,-4573.154470213823,3,0.0001086,1,2.223056227853695,1
623,3706.0023860097135,-1610.1761328265973,-3403.964570564268,1,3.88e-05,4,8.286670477253857,1
625,3921.9866191141077,-816.4920591768306,-3352.9049144305586,1,1.08e-05,4,7.4461545273245235,0
626,2478.310533936039,-3187.178828774873,-1380.2066660365047,1,1.9999999999999998e-05,4,4.686296156498191,1
627,2120.467061982842,-3392.4023691161015,-2975.006759978515,1,1.76e-05,4,12.940182650420983,1
630,-902.4448876564338,-3716.282320499126,-4566.979758966642,3,0.0001274,1,2.223049776661889,0
631,-892.5515689241539,-3915.5362767254665,-3442.1979200888077,1,1.68e-05,4,7.696174254209257,1
632,-2200.978372440823,-3335.579504809077,-3781.1860526338583,4,2.12e-05,3,6.037599275271926,1
633,780.1641703477642,-4093.7981942898346,-2254.2866312630285,3,0.0002416,1,2.2230654300917605,1
634,3306.0799647142608,-2365.165078162941,-4588.742125941665,3,4.04e-05,1,2.2230580979089147,1
635,2032.5314395947207,-2942.6982875561516,-4594.819362573354,3,4.9e-05,1,2.2230510323799115,1
636,3776.7225087097318,-1529.0331002854798,-2863.178016560092,3,2.4999999999999998e-05,1,2.2230512151530997,1
637,238.4726112701904,-3116.815276680279,-4596.913217778683,3,6.98e-05,1,2.223053254672367,1
638,-331.96172101775454,-3920.4484783311873,-4618.300254598356,3,8.96e-05,1,2.223054921802747,1
639,1077.66958628554,-3870.6893084298736,-2168.888333763839,1,2.4e-05,4,13.316642786870748,1
641,1185.4346550320417,-3914.1875207707253,-3030.93361733153,3,1.06e-05,1,2.223063557182368,1
642,1540.5777945776779,-3940.247689742933,-4508.844305684536,3,0.0004504,1,2.223044424540708,1
643,1749.8293261495744,-3992.61061913364,-4623.415141238784,3,8.48e-05,1,2.2230602288331602,1
644,1866.1055071798587,-3961.3480125212177,-4404.524366316939,3,1.2e-06,1,2.223078798716814,1
645,2285.637244334259,-4178.398166461792,-4160.698356270892,3,0.00017199999999999998,1,2.223043740156343,1
646,1692.9576604461756,-4124.030527737289,-4967.541213374586,3,9.64e-05,1,2.2230506143365765,1
648,-1019.4527341236051,1612.9538955506928,-4654.566690073524,3,0.0001904,1,2.2230481522684467,0
649,-3332.8931985567892,-2299.5009314763374,-3571.2807358850228,1,4e-06,4,6.934776086807309,1
650,-2983.0019049985367,-2064.4219335148887,-4668.3814603196615,3,0.0002824,1,2.2230514052743495,1
651,-4026.371114612216,-344.26501846819707,-2463.22662926054,1,9.58e-05,4,5.589604441684406,0
653,-2671.7666438926817,2986.3132934723417,-2719.705982306385,1,1.1599999999999999e-05,4,14.102578181997142,1
656,-1345.9263880992823,3815.505935059023,-1811.1435985937426,1,0.00019119999999999999,4,6.969731317205875,1
658,-2207.103113437952,536.5432838609273,-4529.699714768808,4,0.0001316,2,6.771392442254243,1
836,-2619.095931645851,-3073.8004264817587,-2617.3410008532555,1,1.0199999999999999e-05,4,6.712883583647303,0
841,-1618.9814823364618,-3669.319453135026,-1238.8307315525797,1,2.62e-05,4,13.210966280246405,1
842,-2353.0789800941097,-3238.643331108179,-1307.2216340950395,1,5.6e-06,4,7.000838326165001,1
845,-4045.35182749096,-849.8457125192193,-1646.2258197360668,3,0.0001404,1,2.2230487342809213,1
847,1592.69623143447,-1199.7564887276806,2533.328960674495,3,2.7799999999999998e-05,1,2.2230563666360776,1
850,3175.184319628248,-2452.55034294464,-2280.551125915076,1,9.2e-06,4,12.71632746023171,0
852,-519.8840286190498,-2910.9448480903193,2643.650416472139,3,0.000455,1,2.22305265128253,0
853,-2.2464807716579247,1003.3527253416794,3233.2325989008655,3,0.00011899999999999999,1,2.223053085449243,1
854,-305.4435582349806,1010.6928439568687,3230.002471886609,3,5.98e-05,1,2.2230625161473467,1
857,-2713.5849940971248,3283.9728700876262,727.7443275277891,3,0.0007088,1,2.2230624587212127,1
858,-2958.5281745885004,2133.891277958412,2529.381538836762,4,2.4e-05,3,7.284721126233898,1
859,-3110.8907921802916,2516.2217885309956,335.59718763476536,1,2.14e-05,4,15.154089046504435,1
860,-853.6333364262442,3898.252874353911,-2491.893145360335,4,1.28e-05,3,9.324627487467442,0
862,-3536.801156101479,1953.9660985743433,48.30698091677894,1,2.6e-05,4,4.76282083075326,0
863,-2008.725711705642,864.4146695539775,2600.2256785699346,3,0.00011659999999999999,1,2.223057758249704,0
866,-3776.155519006671,-1443.5687205771378,1911.3543912232767,1,1.7e-05,4,7.202341989273928,1
867,-3424.5773769811435,2144.0941635413888,-611.085860267819,1,2.94e-05,4,12.024321353477305,1
868,1406.6648164811354,3800.586812982242,-5.153471341550521,3,9.92e-05,1,2.223057507780024,1
872,-1958.4800554523247,3518.323205097181,261.2361839352828,1,0.000234,4,7.72313319374028,1
874,3758.053373689475,1433.6534419991917,-3351.210758344082,1,3.38e-05,4,7.734265846970429,1
875,-1280.1822489431374,3796.141732851701,882.1557223507086,1,1.74e-05,4,7.86010607562823,1
876,3993.964682815409,210.6698808320392,-3010.10372485868,4,7.8e-06,3,7.667910360954375,1
878,795.99734869962,3967.8152778066365,2232.866081077633,1,1.9999999999999998e-05,4,13.883426466576292,1
879,73.5347561807326,4033.1687631143814,-74.55512260265752,1,1.1799999999999999e-05,4,7.2538589485189435,1
1012,3795.2176161282723,1352.7481334425959,2432.879219856653,1,9.4e-06,4,7.38311489605966,1
1013,1456.6166268041352,255.63839163913877,2590.5951928895242,3,0.00018759999999999998,1,2.223052782723121,0
1016,1644.568208148582,1365.2715096333625,2524.277026317216,4,2.62e-05,2,7.631195518071621,1
1020,3563.9776193482303,1781.0421232787123,2529.106975201697,4,0.0001374,2,7.659946090672856,1
1023,147.05981996143979,-135.5694982729463,-4558.494972191409,3,7e-06,1,2.2230482424790265,0
1024,-1846.6442083000597,2932.494469661914,757.7543414626272,4,0.00016319999999999998,3,8.546057560021547,1
1025,-1881.878363679276,3581.1789460800255,2460.047438295554,1,1.94e-05,4,7.434069684641035,1
1027,-2097.883842325403,3455.870418330075,-1087.6673219039233,1,0.0001584,4,7.5329860179868335,1
1028,4029.9803858484984,-91.68318748838507,-816.4521029507299,1,5.3599999999999995e-05,4,7.61251676764215,1
1029,-1415.62267014685,3790.5656547793383,460.5470966151421,1,5.4e-06,4,15.234384688335128,1
1031,-3358.573073981279,-2227.5237401930517,-320.31092300156524,1,9.4e-06,4,6.99473604116984,1
1032,-1736.9631523923608,3684.394509766467,529.3141372965622,3,5.24e-05,1,2.2230624005428763,1
1033,-3986.366866250994,432.96784421774464,-1874.8371304260356,1,1.7e-05,4,12.447714471850524,1
1034,-1789.0413473434583,3627.69498325997,-3501.7680507052128,1,1.0199999999999999e-05,4,13.76624072713055,0
1035,-2726.109287785143,3144.805538011442,840.0278350823891,3,0.0001098,1,2.22305682899802,1
1037,-3948.3492213321365,637.3161178313928,984.7333506115683,4,0.0004476,4,5.19923294383813,0
1038,-3884.0905072083324,-1025.4813481235958,-2407.092927767817,1,3.22e-05,4,7.0221470061570725,1
1039,-1567.5842568003,3708.5622098059653,-633.2785213065877,1,1.14e-05,4,13.931808270350054,1
1040,-3084.3187394680353,2583.7329424380764,-752.7277747243451,1,6.5999999999999995e-06,4,6.294031787435099,1
1041,-3067.7332361842978,2640.209505297396,-1271.7666650157792,1,3.64e-05,4,7.082856672164044,1
1042,-1326.3297694200987,3883.5275408878488,-745.7510972244525,3,1.74e-05,1,2.223060854579069,1
1043,-3479.362903904899,2030.5654804740998,-7.598494398000033,1,8.599999999999999e-06,4,7.328087815737261,1
1045,-1005.7988161509115,1922.405779986718,-4607.480083295984,3,9.879999999999999e-05,1,2.223058112972605,1
1048,-779.9293434926262,3926.3894365297356,-346.10041885662565,1,2.5999999999999997e-06,4,12.084376895882556,0
1049,-2470.9040129528075,3176.057372927647,780.789455925941,1,1.5799999999999998e-05,4,11.475105583750908,1
1050,-1101.4930992639904,3857.287952812029,2161.0340803536737,1,1.8e-05,4,6.8173940171767455,0
1051,-1998.021808100572,-1842.7367834701356,-4511.951940108316,4,2.94e-05,3,8.231992338485874,1
1052,1416.1150861358049,2187.504993790566,-4527.643308792027,4,4.68e-05,2,5.162333299315431,1
1054,1213.2063783572517,2833.194367451631,2528.8033443166896,4,8.599999999999999e-05,2,6.157072828800421,1
1188,248.8176726688899,4001.3021263037363,-242.1619674296556,1,2.8e-06,4,6.292517594070242,1
1189,-2300.5454976943893,3332.8377333672165,-870.5927534441839,1,3.38e-05,4,14.108869985232484,1
1190,1245.9820340850438,1059.6391618237299,2497.8015531728665,4,7.8e-05,2,5.237206426271401,0
1193,-2127.6559662606996,3420.403964003115,847.5756276310511,1,1.4e-05,4,5.308431493078545,1
1197,723.8722799352025,3961.6565477204235,-3253.3607778592404,1,1.0399999999999999e-05,4,12.708669474450879,1
1198,159.33915538643117,4001.0685835089685,2103.307137772519,1,4.4e-06,4,7.873990726708247,1
1200,1566.4121582209027,3725.663249289047,1901.906908523959,1,1.26e-05,4,4.886692215565926,1
1201,-2812.840611300077,2963.7234178444787,372.14980359568074,3,3.12e-05,1,2.223060130932325,1
1202,-1517.6459083708698,3041.9776264430243,-4595.88098019854,3,0.00043999999999999996,1,2.2230576576914154,1
1204,3628.2400773841114,1759.4686570605143,-4124.972310430533,1,5.7999999999999995e-06,4,7.860722728017435,1
1205,-3960.076981618923,-736.8260567417694,1579.798101626122,1,2.44e-05,4,6.038718541081335,1
1206,3255.6154560454343,-2383.912996501262,-1177.7254458814393,1,4.96e-05,4,5.9721500779060595,1
1207,3326.897541250183,2282.2026650593066,117.41017942263004,1,9.6e-06,4,5.043710775111045,1
1208,2170.0741215876665,1644.690887842631,2556.6229268268285,3,8.659999999999999e-05,1,2.223044484337827,1
1209,2810.4991325769374,2907.559125557561,-219.82968799244466,1,6.4e-06,4,5.0154746450971555,1
1211,1022.1070680784323,3936.651527687798,-1274.3586175866753,3,1.76e-05,1,2.223052900684261,1
1213,3109.084640270842,2581.653105797241,143.66316725755718,1,2.3199999999999998e-05,4,4.959987098905455,1
1215,-638.2477248744958,3949.6921671672453,-1554.6654639447006,1,2.8199999999999998e-05,4,7.803567797954958,1
1216,3782.1595007332485,1381.5693962963028,783.3842431781803,1,9.8e-06,4,13.49867351236132,1
1220,-3197.600547384989,-1601.2705229220876,2539.916793246602,3,5.62e-05,1,2.2230484708670404,1
1221,503.3026559429907,4008.191077878706,-842.0109860057946,1,4.98e-05,4,5.712312194526164,1
1222,-2300.4799345264278,-3337.669979904334,2.0513899838140155,3,5.4e-06,1,2.223065995574854,1
1224,-4015.023738174208,472.363379132745,1196.9023627187867,1,4.88e-05,4,13.015483169903542,1
1227,3552.691773834435,1853.997141200347,-1592.2222548010839,1,2.3199999999999998e-05,4,6.600924801968274,1
1228,-30.906612768574863,4022.7924384414546,336.0334617032976,1,5.2e-05,4,6.5165851571987545,1
1229,2616.8967474990814,3159.5746468577227,-508.130411269481,3,7.84e-05,1,2.2230558031723455,1
1230,-3760.8238168015414,-1573.963152718768,-2553.6499072056145,3,5.3e-05,1,2.223059992652692,1
1231,1552.3409736173737,3728.650079625145,-862.4922385361302,1,1.14e-05,4,5.826558194136413,0
1364,-2557.645029407297,528.2396622864081,2573.9288653390104,3,0.00014759999999999998,1,2.223063840608289,0
1365,-1047.6816281700528,-1202.6083432133257,-4592.634576593035,3,0.0001198,1,2.2230655811305566,1
1367,2204.4868471646996,3375.2470760502606,-2004.7931153377117,1,4.46e-05,4,6.861299263190892,0
1369,-3993.464591037443,483.3478563556429,-4259.759093081634,1,1.62e-05,4,6.5194443707917795,1
1370,1607.3268476577198,-3682.6898270735746,-1529.5563736370448,1,6.879999999999999e-05,4,6.451746556637243,1
1371,674.507573356836,3954.145668358458,-2949.6305595338904,1,2.9e-05,4,8.654990763666813,1
1373,-381.422535740238,3119.306929768064,2561.866650657613,3,0.0005828,1,2.2230626453647,1
1375,-3970.4037135575536,1235.2697611157237,-2973.690742843007,3,0.00019559999999999998,1,2.2230646348819074,1
1379,3158.48518036153,2507.8437205986556,-898.887662805815,1,2.06e-05,4,10.588032061144908,1
1383,3519.8850638183976,1903.117728937197,-2768.9994315409594,1,3.2e-06,4,6.182393854754405,1
1385,-583.8735834398018,3794.2798808355415,-4564.040531344833,3,5.46e-05,1,2.2230544232275418,1
1387,1113.7462339717624,90.03080022011987,-4529.578018900961,4,5.74e-05,2,1.2506160128318742,0
1388,-1803.1586226471322,3585.8588685162854,-1387.4983818454436,1,2.7e-05,4,12.912641298809442,1
1389,683.8899738877315,3951.4598247874246,-3721.564432521332,1,1.06e-05,4,5.9496213841219845,1
1390,1260.3950065028396,3829.976981151289,920.5807262867614,1,2.7199999999999997e-05,4,7.014948476261887,1
1393,-2231.445599528351,3375.287912501136,-1662.4501579515263,1,1.98e-05,4,8.742078305643146,1
1394,-4013.2980081993155,-303.2810705382906,941.5799417018329,1,9e-06,4,6.350882681664019,0
1395,363.70937623493944,1226.712696374972,2562.1029314678067,3,0.00014,1,2.2230563095027613,1
1396,738.8430864520983,4019.5412693579665,1442.1446764825207,3,0.0002612,1,2.2230469986109043,1
1397,-3132.321680142718,-2527.2328415830525,-1560.5453157948266,1,4.4e-05,4,7.887791105335299,1
1398,-258.96085618610255,-3989.4682793390602,-357.7137491553571,4,1.5799999999999998e-05,2,5.918867091625139,1
1399,-1927.9183325531342,3623.4878555038513,-2616.195071435747,3,8.64e-05,1,2.2230678500752172,1
1400,1528.7971043779946,-3720.1548394817814,-1703.1685244168152,1,6.42e-05,4,14.971642129372743,1
1401,-3378.418490744532,2123.0536181660327,2417.8643005044073,4,2.9999999999999997e-05,3,9.092268897262606,1
1402,112.41631423736861,4056.3529870739503,-1739.485193931626,3,3.7199999999999996e-05,1,2.2230487696800205,1
1404,-3328.365978739626,2261.6455071758037,460.0456872757949,1,8.8e-06,4,8.207469473595662,0
1406,-4016.5026212370512,-499.8069544369626,1037.3167513029762,1,7.099999999999999e-05,4,7.9371177528909005,1
1407,476.0945252101946,-1136.2741467616645,2600.7679477863235,3,0.00022579999999999999,1,2.223045678378178,1
1541,4032.3968153263277,-299.8051663440402,-3074.5116934134535,1,4.46e-05,4,5.458140937768801,1
1543,3980.5842641398267,710.41659706076,-1844.586691424188,1,0.0001204,4,6.7113968458668705,1
1544,1121.727697686189,-3862.35057972069,-313.23160749649753,1,1.42e-05,4,6.903205532686782,1
1545,-985.7362016229877,-1166.5822705118069,-4544.2579907237105,3,8.159999999999999e-05,1,2.2230557170264302,0
1546,3657.812345317235,-1695.9472115783926,-1419.2346846915123,1,1.74e-05,4,7.017717690126265,1
1547,1779.3461743648443,3609.7677900023964,-2907.7358870088246,1,6.72e-05,4,7.255724823385303,1
1548,4019.3204891267396,-215.87986473921987,1476.6609506416467,1,3.6599999999999995e-05,4,7.5807024482183625,1
1549,1870.9602009201278,3513.816363022405,2199.83487629852,4,5.18e-05,2,7.6599663982616715,1
1552,3409.694820456102,-2164.2094705784043,-1099.572484590218,1,7e-06,4,13.540956134524407,1
1553,-2840.469319479305,2844.1949638319006,-3448.9205978840396,1,3.4399999999999996e-05,4,7.670466621931098,1
1554,-2241.0243183019925,3363.075505886158,2097.5945902742515,1,1.28e-05,4,6.178358043971984,1
1556,3663.0642818262104,-1704.8275175905178,-4183.938203170138,1,1.2e-05,4,7.825609516262845,0
1557,1082.6112512833129,3876.9640381276795,-2514.451876503699,1,3.9e-05,4,14.21095358045044,1
1558,3301.2643069188807,2343.686874742413,-742.8881348495634,1,1.14e-05,4,4.543492939985313,1
1559,1155.0322015986503,3180.462899967251,2576.6135521352435,3,0.00018119999999999999,1,2.223052146072367,0
1562,2045.260319321107,3480.4789913959726,-1509.0414485620265,1,2.8199999999999998e-05,4,7.832651690462342,0
1563,-264.7481225198893,4129.00028728882,2041.1237446795028,3,0.0002038,1,2.2230568228197902,1
1564,-2599.3632547532106,-3096.679654315519,1414.3041590782402,1,0.0001414,4,7.569781117816279,1
1565,4086.3290012332022,-192.76908362132292,-47.156495210791185,3,2.28e-05,1,2.223060558190112,1
